instruction,source_width,source_vec_len,destination_width,destination_vec_len
vfcvt.h.ah,16,4,16,4
vfcvt.ah.h,16,4,16,4
vfcvtu.h.h,,,,
vfcvtu.h.ah,,,,
vfcvtu.ah.h,,,,
vfadd.h,16,4,16,4
vfadd.r.h,16,4,16,4
vfsub.h,16,4,16,4
vfsub.r.h,16,4,16,4
vfmul.h,16,4,16,4
vfmul.r.h,16,4,16,4
vfdiv.h,16,4,16,4
vfdiv.r.h,16,4,16,4
vfmin.h,16,4,16,4
vfmin.r.h,16,4,16,4
vfmax.h,16,4,16,4
vfmax.r.h,16,4,16,4
vfsqrt.h,16,4,16,4
vfmac.h,16,4,16,4
vfmac.r.h,16,4,16,4
vfmre.h,16,4,16,4
vfmre.r.h,16,4,16,4
vfclass.h,16,4,16,4
vfsgnj.h,16,4,16,4
vfsgnj.r.h,16,4,16,4
vfsgnjn.h,16,4,16,4
vfsgnjn.r.h,16,4,16,4
vfsgnjx.h,16,4,16,4
vfsgnjx.r.h,16,4,16,4
vfeq.h,16,4,16,4
vfeq.r.h,16,4,16,4
vfne.h,16,4,16,4
vfne.r.h,16,4,16,4
vflt.h,16,4,16,4
vflt.r.h,16,4,16,4
vfge.h,16,4,16,4
vfge.r.h,16,4,16,4
vfle.h,16,4,16,4
vfle.r.h,16,4,16,4
vfgt.h,16,4,16,4
vfgt.r.h,16,4,16,4
vfmv.x.h,,,,
vfmv.h.x,,,,
vfcvt.x.h,,,,
vfcvt.xu.h,,,,
vfcvt.h.x,,,,
vfcvt.h.xu,,,,
vfcpka.h.s,32,1,16,4
vfcpkb.h.s,32,1,16,4
vfcpkc.h.s,32,1,16,4
vfcpkd.h.s,32,1,16,4
vfcpka.h.d,64,1,16,4
vfcpkb.h.d,64,1,16,4
vfcpkc.h.d,64,1,16,4
vfcpkd.h.d,64,1,16,4
vfcvt.s.h,16,4,32,2
vfcvtu.s.h,,,,
vfcvt.h.s,32,2,16,4
vfcvtu.h.s,,,,
vfadd.ah,16,4,16,4
vfadd.r.ah,16,4,16,4
vfsub.ah,16,4,16,4
vfsub.r.ah,16,4,16,4
vfmul.ah,16,4,16,4
vfmul.r.ah,16,4,16,4
vfdiv.ah,16,4,16,4
vfdiv.r.ah,16,4,16,4
vfmin.ah,16,4,16,4
vfmin.r.ah,16,4,16,4
vfmax.ah,16,4,16,4
vfmax.r.ah,16,4,16,4
vfsqrt.ah,16,4,16,4
vfmac.ah,16,4,16,4
vfmac.r.ah,16,4,16,4
vfmre.ah,16,4,16,4
vfmre.r.ah,16,4,16,4
vfclass.ah,16,4,16,4
vfsgnj.ah,16,4,16,4
vfsgnj.r.ah,16,4,16,4
vfsgnjn.ah,16,4,16,4
vfsgnjn.r.ah,16,4,16,4
vfsgnjx.ah,16,4,16,4
vfsgnjx.r.ah,16,4,16,4
vfeq.ah,16,4,16,4
vfeq.r.ah,16,4,16,4
vfne.ah,16,4,16,4
vfne.r.ah,16,4,16,4
vflt.ah,16,4,16,4
vflt.r.ah,16,4,16,4
vfge.ah,16,4,16,4
vfge.r.ah,16,4,16,4
vfle.ah,16,4,16,4
vfle.r.ah,16,4,16,4
vfgt.ah,16,4,16,4
vfgt.r.ah,16,4,16,4
vfmv.x.ah,,,,
vfmv.ah.x,,,,
vfcvt.x.ah,,,,
vfcvt.xu.ah,,,,
vfcvt.ah.x,,,,
vfcvt.ah.xu,,,,
vfcpka.ah.s,32,1,16,4
vfcpkb.ah.s,32,1,16,4
vfcpkc.ah.s,32,1,16,4
vfcpkd.ah.s,32,1,16,4
vfcpka.ah.d,64,1,16,4
vfcpkb.ah.d,64,1,16,4
vfcpkc.ah.d,64,1,16,4
